[rosmaster.master][INFO] 2021-10-22 12:22:55,438: +PARAM [/ss42/camera_node/image/rect/compressed/png_level] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:55,443: +PUB [/ss42/camera_node/image/rect] /ss42/image_proc_node http://ss42.local:44455/
[rosmaster.master][INFO] 2021-10-22 12:22:55,449: +PUB [/ss42/camera_node/image/rect/theora] /ss42/image_proc_node http://ss42.local:44455/
[rosmaster.master][INFO] 2021-10-22 12:22:55,453: +SERVICE [/ss42/camera_node/image/rect/theora/set_parameters] /ss42/image_proc_node http://ss42.local:44455/
[rosmaster.master][INFO] 2021-10-22 12:22:55,458: +PUB [/ss42/camera_node/image/rect/theora/parameter_descriptions] /ss42/image_proc_node http://ss42.local:44455/
[rosmaster.master][INFO] 2021-10-22 12:22:55,463: +PUB [/ss42/camera_node/image/rect/theora/parameter_updates] /ss42/image_proc_node http://ss42.local:44455/
[rosmaster.master][INFO] 2021-10-22 12:22:55,483: +PARAM [/ss42/camera_node/image/rect/theora/optimize_for] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:55,487: +PARAM [/ss42/camera_node/image/rect/theora/target_bitrate] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:55,493: +PARAM [/ss42/camera_node/image/rect/theora/quality] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:55,497: +PARAM [/ss42/camera_node/image/rect/theora/keyframe_frequency] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:55,502: +PARAM [/ss42/camera_node/image/rect/theora/optimize_for] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:55,506: +PARAM [/ss42/camera_node/image/rect/theora/target_bitrate] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:55,511: +PARAM [/ss42/camera_node/image/rect/theora/quality] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:55,515: +PARAM [/ss42/camera_node/image/rect/theora/keyframe_frequency] by /ss42/image_proc_node
[rosmaster.master][INFO] 2021-10-22 12:22:56,555: +PUB [/rosout] /ss42/camera_node http://ss42.local:34818/
[rosmaster.master][INFO] 2021-10-22 12:22:56,582: +SERVICE [/ss42/camera_node/get_loggers] /ss42/camera_node http://ss42.local:34818/
[rosmaster.master][INFO] 2021-10-22 12:22:56,587: +SERVICE [/ss42/camera_node/set_logger_level] /ss42/camera_node http://ss42.local:34818/
[rosmaster.master][INFO] 2021-10-22 12:22:56,598: publisherUpdate[/rosout] -> http://ss42.local:45347/ ['http://ss42.local:44455/', 'http://ss42.local:41896/', 'http://ss42.local:34818/']
[rosmaster.master][INFO] 2021-10-22 12:22:56,601: +PARAM [/ss42/camera_node/framerate_high] by /ss42/camera_node
[rosmaster.master][INFO] 2021-10-22 12:22:56,603: publisherUpdate[/rosout] -> http://ss42.local:45347/ ['http://ss42.local:44455/', 'http://ss42.local:41896/', 'http://ss42.local:34818/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2021-10-22 12:22:56,613: +PARAM [/ss42/camera_node/framerate_low] by /ss42/camera_node
[rosmaster.master][INFO] 2021-10-22 12:22:56,625: +PARAM [/ss42/camera_node/res_w] by /ss42/camera_node
[rosmaster.master][INFO] 2021-10-22 12:22:56,637: +PARAM [/ss42/camera_node/res_h] by /ss42/camera_node
